"domain","category","score","first_seen","last_seen","ports","ip","url","type","file_hash"
"3237.site","Network activity","","","","","","","domain",""
"abrumpere.online","Network activity","","","","","","","domain",""
"abrusa.xyz","Network activity","","","","","","","domain",""
"absinthiuma.xyz","Network activity","","","","","","","domain",""
"acaciana.xyz","Network activity","","","","","","","domain",""
"acantholyda.online","Network activity","","","","","","","domain",""
"acanthophis.online","Network activity","","","","","","","domain",""
"accordan.ru","Network activity","","","","","","","domain",""
"account-google.site","Network activity","","","","","","","domain",""
"acetica.online","Network activity","","","","","","","domain",""
"acetica.ru","Network activity","","","","","","","domain",""
"acetobacter.online","Network activity","","","","","","","domain",""
"acetobacter.ru","Network activity","","","","","","","domain",""
"achalinus.online","Network activity","","","","","","","domain",""
"achilleas.xyz","Network activity","","","","","","","domain",""
"acidop.ru","Network activity","","","","","","","domain",""
"acorusis.xyz","Network activity","","","","","","","domain",""
"acrididae.online","Network activity","","","","","","","domain",""
"acrididae.ru","Network activity","","","","","","","domain",""
"acridoxena.online","Network activity","","","","","","","domain",""
"acteran.ru","Network activity","","","","","","","domain",""
"acteraon.ru","Network activity","","","","","","","domain",""
"aculeatus.xyz","Network activity","","","","","","","domain",""
"adblocked.space","Network activity","","","","","","","domain",""
"adleer.ru","Network activity","","","","","","","domain",""
"adonisi.xyz","Network activity","","","","","","","domain",""
"adonisis.xyz","Network activity","","","","","","","domain",""
"aerogenosa.ru","Network activity","","","","","","","domain",""
"agamat.xyz","Network activity","","","","","","","domain",""
"agaricusa.online","Network activity","","","","","","","domain",""
"agarisi.ru","Network activity","","","","","","","domain",""
"akowaika.ru","Network activity","","","","","","","domain",""
"akunir.ru","Network activity","","","","","","","domain",""
"alacritas.ru","Network activity","","","","","","","domain",""
"albatrellus.online","Network activity","","","","","","","domain",""
"alburnus.online","Network activity","","","","","","","domain",""
"alebont.ru","Network activity","","","","","","","domain",""
"alibetar.ru","Network activity","","","","","","","domain",""
"aligatou.ru","Network activity","","","","","","","domain",""
"alligatori.xyz","Network activity","","","","","","","domain",""
"almenar.ru","Network activity","","","","","","","domain",""
"alpiniar.xyz","Network activity","","","","","","","domain",""
"alseid.ru","Network activity","","","","","","","domain",""
"alvarados.ru","Network activity","","","","","","","domain",""
"alytes.xyz","Network activity","","","","","","","domain",""
"amaniwa.ru","Network activity","","","","","","","domain",""
"amarus.xyz","Network activity","","","","","","","domain",""
"ambystoma.xyz","Network activity","","","","","","","domain",""
"amieteku.ru","Network activity","","","","","","","domain",""
"ammoniacum.xyz","Network activity","","","","","","","domain",""
"anamirtat.xyz","Network activity","","","","","","","domain",""
"anaraq.ru","Network activity","","","","","","","domain",""
"anatara.ru","Network activity","","","","","","","domain",""
"anguisa.xyz","Network activity","","","","","","","domain",""
"anisoptera.online","Network activity","","","","","","","domain",""
"anisoptera.ru","Network activity","","","","","","","domain",""
"anits.ru","Network activity","","","","","","","domain",""
"anolis.online","Network activity","","","","","","","domain",""
"antarcticus.online","Network activity","","","","","","","domain",""
"anthriscus.xyz","Network activity","","","","","","","domain",""
"apaturinae.online","Network activity","","","","","","","domain",""
"apaturinae.ru","Network activity","","","","","","","domain",""
"apidaet.online","Network activity","","","","","","","domain",""
"apidaet.ru","Network activity","","","","","","","domain",""
"apoxipodes.online","Network activity","","","","","","","domain",""
"apusa.xyz","Network activity","","","","","","","domain",""
"apusi.xyz","Network activity","","","","","","","domain",""
"arachnidas.online","Network activity","","","","","","","domain",""
"arachnidas.ru","Network activity","","","","","","","domain",""
"aradewa.ru","Network activity","","","","","","","domain",""
"archiepiscopus.online","Network activity","","","","","","","domain",""
"arctiidae.online","Network activity","","","","","","","domain",""
"arctiidae.ru","Network activity","","","","","","","domain",""
"ardinvest.site","Network activity","","","","","","","domain",""
"arianat.ru","Network activity","","","","","","","domain",""
"arianos.ru","Network activity","","","","","","","domain",""
"ariuma.ru","Network activity","","","","","","","domain",""
"artemisian.xyz","Network activity","","","","","","","domain",""
"artisola.ru","Network activity","","","","","","","domain",""
"arvalis.xyz","Network activity","","","","","","","domain",""
"arvensis.xyz","Network activity","","","","","","","domain",""
"asdorta.ru","Network activity","","","","","","","domain",""
"ashiato.ru","Network activity","","","","","","","domain",""
"asilidae.online","Network activity","","","","","","","domain",""
"asilidae.ru","Network activity","","","","","","","domain",""
"aspidium.xyz","Network activity","","","","","","","domain",""
"assasysa.online","Network activity","","","","","","","domain",""
"asymmetria.online","Network activity","","","","","","","domain",""
"atlanticos.site","Network activity","","","","","","","domain",""
"auratus.xyz","Network activity","","","","","","","domain",""
"autumnale.xyz","Network activity","","","","","","","domain",""
"avirona.ru","Network activity","","","","","","","domain",""
"avratus.xyz","Network activity","","","","","","","domain",""
"azukimiwo.ru","Network activity","","","","","","","domain",""
"babylont.online","Network activity","","","","","","","domain",""
"bacill.ru","Network activity","","","","","","","domain",""
"bacilluse.online","Network activity","","","","","","","domain",""
"bacteri.ru","Network activity","","","","","","","domain",""
"bacterir.ru","Network activity","","","","","","","domain",""
"bacteriu.ru","Network activity","","","","","","","domain",""
"baldasha.ru","Network activity","","","","","","","domain",""
"banisha.ru","Network activity","","","","","","","domain",""
"barbadense.space","Network activity","","","","","","","domain",""
"barbatam.online","Network activity","","","","","","","domain",""
"barbatas.online","Network activity","","","","","","","domain",""
"barbatas.ru","Network activity","","","","","","","domain",""
"barbatulus.xyz","Network activity","","","","","","","domain",""
"barbatus.online","Network activity","","","","","","","domain",""
"barniga.ru","Network activity","","","","","","","domain",""
"barosma.xyz","Network activity","","","","","","","domain",""
"bartion.ru","Network activity","","","","","","","domain",""
"bartli.xyz","Network activity","","","","","","","domain",""
"baryo.ru","Network activity","","","","","","","domain",""
"baryom.ru","Network activity","","","","","","","domain",""
"bassont.ru","Network activity","","","","","","","domain",""
"bennerit.ru","Network activity","","","","","","","domain",""
"bercul.ru","Network activity","","","","","","","domain",""
"berezini.ru","Network activity","","","","","","","domain",""
"berus.xyz","Network activity","","","","","","","domain",""
"betsuno.ru","Network activity","","","","","","","domain",""
"bettar.xyz","Network activity","","","","","","","domain",""
"betulina.xyz","Network activity","","","","","","","domain",""
"bibikaro.ru","Network activity","","","","","","","domain",""
"biblidinae.online","Network activity","","","","","","","domain",""
"bibliota.ru","Network activity","","","","","","","domain",""
"biiter.ru","Network activity","","","","","","","domain",""
"bikestr.ru","Network activity","","","","","","","domain",""
"bikortas.ru","Network activity","","","","","","","domain",""
"biontra.ru","Network activity","","","","","","","domain",""
"bitsadmin2.space","Network activity","","","","","","","domain",""
"bitsadmin3.space","Network activity","","","","","","","domain",""
"bitsadmin4.space","Network activity","","","","","","","domain",""
"bitsbitsa.space","Network activity","","","","","","","domain",""
"bitsbitsb.space","Network activity","","","","","","","domain",""
"bitsbitsc.space","Network activity","","","","","","","domain",""
"bitsbitsd.space","Network activity","","","","","","","domain",""
"bitsbitsi.space","Network activity","","","","","","","domain",""
"bitsbitsk.space","Network activity","","","","","","","domain",""
"bitsbitsl.space","Network activity","","","","","","","domain",""
"blaberidae.ru","Network activity","","","","","","","domain",""
"blattodea.online","Network activity","","","","","","","domain",""
"blattodea.ru","Network activity","","","","","","","domain",""
"blockpost.site","Network activity","","","","","","","domain",""
"blockpost.space","Network activity","","","","","","","domain",""
"blockpost.website","Network activity","","","","","","","domain",""
"blositro.ru","Network activity","","","","","","","domain",""
"bluera.ru","Network activity","","","","","","","domain",""
"bluestah.ru","Network activity","","","","","","","domain",""
"boiss.xyz","Network activity","","","","","","","domain",""
"bokujanai.ru","Network activity","","","","","","","domain",""
"bokuwai.ru","Network activity","","","","","","","domain",""
"bolotran.ru","Network activity","","","","","","","domain",""
"boltorg.ru","Network activity","","","","","","","domain",""
"bombinator.xyz","Network activity","","","","","","","domain",""
"bonitol.online","Network activity","","","","","","","domain",""
"boniton.site","Network activity","","","","","","","domain",""
"bortogat.ru","Network activity","","","","","","","domain",""
"botaurus.online","Network activity","","","","","","","domain",""
"botulina.ru","Network activity","","","","","","","domain",""
"brachycera.online","Network activity","","","","","","","domain",""
"brasiliensisi.xyz","Network activity","","","","","","","domain",""
"bratseth.ru","Network activity","","","","","","","domain",""
"brevib.ru","Network activity","","","","","","","domain",""
"brevisi.ru","Network activity","","","","","","","domain",""
"brontaga.ru","Network activity","","","","","","","domain",""
"brucel.ru","Network activity","","","","","","","domain",""
"buffalor.ru","Network activity","","","","","","","domain",""
"bugarto.ru","Network activity","","","","","","","domain",""
"buhse.xyz","Network activity","","","","","","","domain",""
"burhinus.online","Network activity","","","","","","","domain",""
"buruncha.ru","Network activity","","","","","","","domain",""
"butyri.ru","Network activity","","","","","","","domain",""
"caimana.xyz","Network activity","","","","","","","domain",""
"calamusi.xyz","Network activity","","","","","","","domain",""
"calamuss.xyz","Network activity","","","","","","","domain",""
"calendas.ru","Network activity","","","","","","","domain",""
"callichthys.xyz","Network activity","","","","","","","domain",""
"camama.ru","Network activity","","","","","","","domain",""
"campestri.online","Network activity","","","","","","","domain",""
